name;path;author;date;difficulty;topics
;D:\Files\Programming\TaskGen\data\1;Ираклий Гагуа;2011;50;['комбинаторика', 'числа', '']
;D:\Files\Programming\TaskGen\data\10;Ираклий Гагуа;2011;72;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\100;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\101;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\102;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\103;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\104;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\105;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\106;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\107;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\108;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\109;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\11;Ираклий Гагуа;2011;72;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\110;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\111;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\112;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\113;ЗМШ;2012;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\114;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\115;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\116;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\117;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\118;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\119;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\12;Ираклий Гагуа;2011;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\120;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\121;Ирина Шпаковская;2017;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\122;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\123;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\124;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\125;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\126;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\127;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\128;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\129;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\13;Ираклий Гагуа;2011;51;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\130;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\131;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\132;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\133;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\134;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\135;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\136;Елена Фадеева;2017;50;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\137;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\138;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\139;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\14;Ираклий Гагуа;2011;51;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\140;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\141;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\142;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\143;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\144;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\145;арт;2012;20;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\146;ЗМШ;2013;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\147;ЗМШ;2013;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\148;ЗМШ;2013;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\149;ЗМШ;2013;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\15;Ираклий Гагуа;2011;52;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\150;ЗМШ;2013;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\151;ЗМШ;2013;30;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\152;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\153;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\154;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\155;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\156;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\157;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\158;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\159;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\16;Ираклий Гагуа;2011;53;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\160;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\161;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\162;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\163;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\164;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\165;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\166;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\167;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\168;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\169;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\17;25 школа;2012;70;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\170;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\171;ЗМШ;2013;31;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\172;ЗМШ;2013;31;['комбинаторика', '', '']
